SA2_CODE21,SA2_NAME21,Parcel_Count,Total_Dwelling_Yield,Avg_Dwelling_Yield,Avg_Timing_Category,SA2_code,2021,2026,2031,2036,2041,2046
301011002,belmont - gumdale,146,438.0,3.0,4.0,301011002.0,7645.0,7338.076987217439,7165.525278948325,7024.175951320776,6946.417474379197,6902.3679317689075
301031015,manly - lota,328,11676.0,35.59756097560975,3.7804878048780486,301031015.0,7993.0,8054.912922545609,8167.228434149993,8318.511560127701,8545.208605766455,8705.33601423929
301031016,manly west,253,4183.0,16.533596837944664,3.58102766798419,301031016.0,12026.0,12253.500672645769,12313.593162367568,12362.769183904562,12469.010267355136,12569.058528904709
301031017,murarrie,169,16535.0,97.84023668639053,2.0,301031017.0,4843.0,4750.123927751531,4812.06255057075,5049.047274081337,5335.95395726955,5689.9986526012635
301031018,tingalpa,358,2802.0,7.826815642458101,4.033519553072626,301031018.0,8992.0,9447.939650293103,10002.02673272444,10342.550335988137,10590.624702698737,10719.634096079772
301031019,wakerley,108,3780.0,35.0,4.0,301031019.0,9567.0,9689.401110332232,9754.786196470672,9799.408159765811,9883.650917245875,9955.624850000944
301031020,wynnum,206,3138.0,15.233009708737864,3.70873786407767,301031020.0,14738.0,15290.916233596943,15976.086293194176,16969.401528007384,18189.089963584876,19663.09031535073
301031021,wynnum west - hemmant,253,7207.0,28.486166007905137,3.090909090909091,301031021.0,15943.0,16454.161314026274,16834.419256832476,17048.903322049387,17256.238791051634,17378.635429199396
302011022,bald hills,51,1785.0,35.0,3.235294117647059,302011022.0,7930.0,8109.956876514788,8119.923711414893,8093.03012564117,8079.064883452372,8036.287908513177
302011023,bridgeman downs,737,25083.0,34.03392130257802,3.5318860244233377,302011023.0,10618.0,12269.599405701509,13371.514811026776,14068.543100962394,14757.431646588368,15340.310720218931
302011024,carseldine,559,26470.0,47.35241502683363,3.6135957066189626,302011024.0,9954.0,10109.955450341837,10032.819700449378,10005.869386784709,10071.270446386836,10260.304199193088
302011025,everton park,1330,5430.0,4.082706766917293,3.794736842105263,302011025.0,10194.0,10824.983272196823,11472.070208555906,12228.708817250968,13049.400890672288,13850.77894387572
302011026,mcdowall,524,8604.0,16.419847328244273,3.0267175572519083,302011026.0,8018.0,8160.072072634018,8240.794108958407,8340.365103121296,8371.81386241922,8355.485222142226
302021027,aspley,59,2553.0,43.271186440677965,3.559322033898305,302021027.0,13068.0,12969.839323519562,12782.420304559302,12625.38762949943,12539.512628134036,12475.946731833148
302021028,chermside,53,1855.0,35.0,2.0,302021028.0,11612.0,12728.759335029088,13963.463139781144,15607.244938057947,17470.07691785662,19974.55997611288
302021029,chermside west,169,507.0,3.0,3.591715976331361,302021029.0,6701.0,6752.450905928304,6826.390948260832,6890.623440341633,6979.7045273637095,7064.067650540016
302021030,geebung,146,438.0,3.0,4.0,302021030.0,4599.0,4645.403296580511,4652.25943324679,4663.250986311006,4689.0486376705285,4712.857834994086
302031035,boondall,97,1731.0,17.84536082474227,3.0,302031035.0,9739.0,10010.6682388042,10032.368403608907,9995.56209916915,10054.812044089147,10078.705689656295
302031036,brisbane airport,32,9600.0,300.0,1.0,302031036.0,131.0,339.57378302544026,463.49543586418,503.0758055492259,507.4070366794568,506.5197106723106
302031037,eagle farm - pinkenba,409,74775.0,182.8239608801956,3.5378973105134475,302031037.0,2104.0,5124.979890327555,7403.440524603633,9222.811980222265,10985.31764832777,12907.535439376748
302031038,northgate - virginia,90,3150.0,35.0,3.0,302031038.0,7169.0,7368.876527418068,7460.257176718914,7586.900013392429,7741.357249986579,7906.138032395393
302031039,nudgee - banyo,53,1855.0,35.0,2.0,302031039.0,10948.0,11609.719679462503,11863.956246727828,12354.3713258585,12829.015053582509,13147.746900680257
302041041,bracken ridge,804,28852.0,35.885572139303484,2.91044776119403,302041041.0,17816.0,17998.984440657474,17976.516875324443,17880.68483995846,18020.403723484877,18321.76060527875
302041042,brighton (qld),731,2193.0,3.0,3.9958960328317374,302041042.0,9786.0,9931.003433665566,10149.319547983108,10336.817537573614,10554.196683934586,10758.579955159928
302041045,taigum - fitzgibbon,796,29796.0,37.4321608040201,2.807788944723618,302041045.0,14301.0,14700.73480671307,15185.566488624652,15505.994856781148,15807.829725489222,16119.115218368412
303011048,cannon hill,36,10800.0,300.0,2.0,303011048.0,7028.0,7540.298040612772,7760.132781280286,7977.184102194743,8156.461137350135,8340.698123458365
303011049,carina,182,11238.0,61.747252747252745,3.604395604395605,303011049.0,12003.0,12781.808603736274,13174.35764429466,13395.408346755212,13936.525825143985,14639.341042262282
303011050,carina heights,72,21600.0,300.0,2.0,303011050.0,6980.0,7156.781029092284,7282.285351642228,7404.40716039862,7603.071602583675,7884.343357718737
303011051,carindale,146,438.0,3.0,4.0,303011051.0,16782.0,16802.02775996223,16539.153937286283,16247.27267381531,16011.632863989038,15764.46419746444
303021053,coorparoo,13,3900.0,300.0,4.0,303021053.0,18165.0,19565.836726673475,20619.696957735607,22160.94244256055,23780.875289277355,25537.282088774664
303021056,holland park,23,69.0,3.0,1.0,303021056.0,9017.0,9329.2635743741,9489.103900073376,9624.016176900075,9804.810575598944,10026.95478892035
303021057,holland park west,63,12825.0,203.57142857142856,2.0,303021057.0,6499.0,6959.217903858214,7163.483172231537,7341.875815183444,7514.678309379207,7734.333547931676
303021058,woolloongabba,274,54655.0,199.47080291970804,2.302919708029197,303021058.0,8787.0,10892.789533278694,13069.499300560596,16025.005080006733,18913.02763382909,21832.13186464543
303021059,yeronga,90,12690.0,141.0,3.2,303021059.0,10343.0,10992.617343317836,11247.385532081726,11737.738214567076,12355.834080774484,12944.820827650052
303031060,eight mile plains,1472,12272.0,8.33695652173913,3.6786684782608696,303031060.0,15479.0,15528.58132481022,15979.239392890831,16137.661654851974,16324.01092160712,16400.051617269568
303031061,macgregor (qld),292,876.0,3.0,4.0,303031061.0,6075.0,6689.392229036699,7050.65390196899,7601.380618914416,8202.987696912473,8771.412812937608
303031062,mansfield (qld),23,69.0,3.0,1.0,303031062.0,9008.0,9121.673712882795,9185.20530217589,9246.458866008436,9347.60938978216,9445.330599266304
303031063,mount gravatt,107,3745.0,35.0,3.0093457943925235,303031063.0,16166.0,17576.88020080988,18651.8980149509,19907.463226656255,21410.615040731376,23247.629059649327
303031064,rochedale - burbank,1887,76201.0,40.38208797032326,3.289348171701113,303031064.0,11201.0,14153.915469013396,15772.890061710685,16852.09700569668,18280.80074194948,19731.996235952185
303031065,upper mount gravatt,212,12813.0,60.43867924528302,3.693396226415094,303031065.0,11180.0,12639.917333575508,14256.08549871165,16803.864121432445,19202.099552293104,22213.819541463843
303031066,wishart,200,2328.0,11.64,4.0,303031066.0,11584.0,11664.957821652431,11720.03373160465,11736.434162677831,11800.740488240244,11867.983498813292
303041067,coopers plains,53,1855.0,35.0,2.0,303041067.0,5802.0,6519.196475437737,6962.059720388576,7454.369085573962,7948.441031798151,8474.709383841453
303041068,moorooka,0,0.0,,,303041068.0,10996.0,11764.633411300263,12067.197168045128,12383.673055160618,12791.589290988468,13300.033580300507
303041069,robertson,0,0.0,,,303041069.0,4950.0,5626.026457575925,5656.727104374867,5668.2072811725775,5687.618501172566,5699.361107616236
303041070,salisbury - nathan,461,1383.0,3.0,3.850325379609545,303041070.0,7679.0,7859.1659752901505,7982.147710404738,8079.680165667853,8201.943004468605,8320.303438232317
303041071,tarragindi,0,0.0,,,303041071.0,11085.0,11332.727755971637,11455.362531484516,11558.292474772274,11692.226168363946,11817.484990407384
