SA2_code,SA2_name,2021,2026,2031,2036,2041,2046
301011001.0,Alexandra Hills,16878.0,16402.418719085523,16004.995865339824,15490.30206040625,15017.029788250638,14544.592031314824
301011002.0,Belmont - Gumdale,7645.0,7338.076987217439,7165.525278948325,7024.175951320776,6946.417474379197,6902.3679317689075
301011003.0,Birkdale,15457.0,16269.029706895817,16448.926106523715,16502.80578687127,16528.315138801976,16473.48384304952
301011004.0,Capalaba,18586.0,19212.883689177736,19658.90306813393,19931.68486585711,20080.690498512893,19912.317959317188
301011005.0,Thorneside,3928.0,3916.228713336585,3905.992516072843,3893.310388750808,3897.925110166773,3901.43280555139
301011006.0,Wellington Point,12047.0,12678.534165367275,12925.333387423583,13017.747873015636,13106.233899884806,13157.887833632743
301021007.0,Cleveland,16075.0,17881.819627923105,19456.473113946427,20826.44701385664,22061.734842172922,22285.729684836668
301021008.0,Ormiston,6446.0,6663.456381235948,6696.602175996156,6681.522544854994,6659.175055941222,6612.127530631158
301021009.0,Redland Bay,18099.0,20131.59725852248,22038.88168565967,23775.66115204608,25210.17477438021,26339.288232911433
301021011.0,Sheldon - Mount Cotton,8461.0,8346.967102656688,8348.514359373106,8334.911443199364,8343.50666144752,8346.498078984712
301021012.0,Thornlands,19658.0,20835.299010322877,21556.01556363487,21761.526230751493,21974.949719409808,22133.035187759306
301021013.0,Victoria Point,15330.0,15724.635791315444,15930.238809176368,15922.782993590403,15834.194287500972,15567.606668742272
301021550.0,North Stradbroke Island,2191.0,2226.9181421724566,2237.3001342793686,2240.4171684459207,2245.510730375214,2246.5361083087364
301021551.0,Southern Moreton Bay Islands,8574.0,9725.144610226453,10744.792857037299,11305.488035530832,11792.174596207258,12128.829139751972
301031014.0,Brisbane Port - Lytton,10.0,9.751183894863848,9.689356751702846,9.628336563298078,9.607644426445514,9.58624642896522
301031015.0,Manly - Lota,7993.0,8054.912922545609,8167.228434149993,8318.511560127701,8545.208605766455,8705.33601423929
301031016.0,Manly West,12026.0,12253.500672645769,12313.593162367568,12362.769183904562,12469.010267355137,12569.058528904707
301031017.0,Murarrie,4843.0,4750.123927751531,4812.06255057075,5049.047274081337,5335.95395726955,5689.9986526012635
301031018.0,Tingalpa,8992.0,9447.939650293103,10002.02673272444,10342.550335988137,10590.624702698735,10719.634096079772
301031019.0,Wakerley,9567.0,9689.401110332232,9754.786196470672,9799.408159765811,9883.650917245875,9955.624850000944
301031020.0,Wynnum,14738.0,15290.916233596943,15976.086293194176,16969.401528007384,18189.089963584876,19663.09031535073
301031021.0,Wynnum West - Hemmant,15943.0,16454.161314026274,16834.419256832476,17048.903322049387,17256.238791051634,17378.635429199396
302011022.0,Bald Hills,7930.0,8109.956876514788,8119.923711414893,8093.03012564117,8079.064883452372,8036.287908513177
302011023.0,Bridgeman Downs,10618.0,12269.599405701509,13371.514811026775,14068.543100962394,14757.431646588368,15340.310720218933
302011024.0,Carseldine,9954.0,10109.955450341837,10032.819700449378,10005.869386784707,10071.270446386836,10260.304199193088
302011025.0,Everton Park,10194.0,10824.983272196825,11472.070208555906,12228.708817250968,13049.400890672288,13850.778943875719
302011026.0,McDowall,8018.0,8160.072072634018,8240.794108958407,8340.365103121296,8371.81386241922,8355.485222142226
302021027.0,Aspley,13068.0,12969.839323519562,12782.420304559302,12625.38762949943,12539.512628134036,12475.946731833148
302021028.0,Chermside,11612.0,12728.759335029088,13963.463139781144,15607.244938057947,17470.07691785662,19974.55997611288
302021029.0,Chermside West,6701.0,6752.450905928304,6826.390948260832,6890.623440341633,6979.7045273637095,7064.067650540016
302021030.0,Geebung,4599.0,4645.403296580511,4652.25943324679,4663.250986311006,4689.0486376705285,4712.857834994086
302021031.0,Kedron - Gordon Park,14694.0,15329.47648941855,15715.830285390912,16061.97441488077,16629.16639739581,17334.498948197193
302021032.0,Stafford,7020.0,7311.279510647666,7550.372616429094,7824.538686110271,8058.841160926389,8212.231738162944
302021033.0,Stafford Heights,7233.0,6991.10341818714,6877.68357297917,6783.1461686843595,6733.405313473388,6703.15452010642
302021034.0,Wavell Heights,10474.0,10750.412192519843,11041.146496977783,11325.269167446704,11667.949567738637,12017.9280744984
302031035.0,Boondall,9739.0,10010.6682388042,10032.368403608907,9995.56209916915,10054.812044089147,10078.705689656297
302031036.0,Brisbane Airport,131.0,339.57378302544026,463.49543586418,503.0758055492259,507.40703667945684,506.5197106723106
302031037.0,Eagle Farm - Pinkenba,2104.0,5124.979890327555,7403.440524603633,9222.811980222263,10985.31764832777,12907.535439376747
302031038.0,Northgate - Virginia,7169.0,7368.876527418068,7460.257176718914,7586.900013392429,7741.357249986579,7906.138032395393
302031039.0,Nudgee - Banyo,10948.0,11609.719679462505,11863.956246727828,12354.371325858501,12829.015053582507,13147.746900680255
