SA2_CODE21,SA2_NAME21,Parcel_Count,Total_Dwelling_Yield,Avg_Dwelling_Yield,Avg_Timing_Category,2021,2026,2031,2036,2041,2046,dwelling_gap
301011002,belmont - gumdale,146,438.0,3.0,4.0,7645.0,7338.076987217439,7165.525278948325,7024.175951320776,6946.417474379197,6902.3679317689075,-629.7898884206701
301031015,manly - lota,328,11676.0,35.59756097560975,3.7804878048780486,7993.0,8054.912922545609,8167.228434149993,8318.511560127701,8545.208605766455,8705.33601423929,-11606.308626340004
301031016,manly west,253,4183.0,16.533596837944664,3.58102766798419,12026.0,12253.500672645769,12313.593162367568,12362.769183904562,12469.010267355136,12569.058528904709,-4067.9627350529727
301031017,murarrie,169,16535.0,97.84023668639053,2.0,4843.0,4750.123927751531,4812.06255057075,5049.047274081337,5335.95395726955,5689.9986526012635,-16547.3749797717
301031018,tingalpa,358,2802.0,7.826815642458101,4.033519553072626,8992.0,9447.939650293103,10002.02673272444,10342.550335988137,10590.624702698737,10719.634096079772,-2397.989306910224
301031019,wakerley,108,3780.0,35.0,4.0,9567.0,9689.401110332232,9754.786196470672,9799.408159765811,9883.650917245875,9955.624850000944,-3704.885521411731
301031020,wynnum,206,3138.0,15.233009708737864,3.70873786407767,14738.0,15290.916233596943,15976.086293194176,16969.401528007384,18189.089963584876,19663.09031535073,-2642.7654827223296
301031021,wynnum west - hemmant,253,7207.0,28.486166007905137,3.090909090909091,15943.0,16454.161314026274,16834.419256832476,17048.903322049387,17256.238791051634,17378.635429199396,-6850.43229726701
302011022,bald hills,51,1785.0,35.0,3.235294117647059,7930.0,8109.956876514788,8119.923711414893,8093.03012564117,8079.064883452372,8036.287908513177,-1709.0305154340429
302011023,bridgeman downs,737,25083.0,34.03392130257802,3.5318860244233377,10618.0,12269.599405701509,13371.514811026776,14068.543100962394,14757.431646588368,15340.310720218931,-23981.594075589288
302011024,carseldine,559,26470.0,47.35241502683363,3.6135957066189626,9954.0,10109.955450341837,10032.819700449378,10005.869386784709,10071.270446386836,10260.304199193088,-26438.47211982025
